LagerId,LagerPLZ
1,48151
2,50667
3,68167
4,40470
5,20249
6,44807
8,47053
9,28209
10,30177
11,51065
12,45277
13,41061
14,46236
15,04155
16,01127
17,33611
18,59199
19,60435
20,80939
22,42699
23,44653
24,12099
